Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
2.38000000E+02	-3.09868977E+01	
2.39000000E+02	-3.07091306E+01	
2.40000000E+02	-3.00784396E+01	
2.41000000E+02	-2.98567216E+01	
2.42000000E+02	-3.01683140E+01	
2.43000000E+02	-3.07055690E+01	
2.44000000E+02	-3.10012839E+01	
2.45000000E+02	-3.08670069E+01	
2.46000000E+02	-3.05495406E+01	
2.47000000E+02	-3.03478659E+01	
2.48000000E+02	-3.03698956E+01	
2.49000000E+02	-3.05631015E+01	
2.50000000E+02	-3.08007727E+01	
2.51000000E+02	-3.09640037E+01	
2.52000000E+02	-3.10046174E+01	
2.53000000E+02	-3.09520028E+01	
2.54000000E+02	-3.08680143E+01	
2.55000000E+02	-3.08020028E+01	
2.56000000E+02	-3.07751820E+01	
2.57000000E+02	-3.07860152E+01	
2.58000000E+02	-3.08214929E+01	
2.59000000E+02	-3.08665758E+01	
2.60000000E+02	-3.09096808E+01	
2.61000000E+02	-3.09444919E+01	
2.62000000E+02	-3.09692889E+01	
2.63000000E+02	-3.09852145E+01	
2.64000000E+02	-3.09945665E+01	
2.65000000E+02	-3.09996466E+01	
2.66000000E+02	-3.10022226E+01	
2.67000000E+02	-3.10034321E+01	
2.68000000E+02	-3.10039097E+01	
2.69000000E+02	-3.10039868E+01	
2.70000000E+02	-2.28734146E+01	
2.71000000E+02	-3.10039868E+01	
2.72000000E+02	-3.10039097E+01	
2.73000000E+02	-3.10034321E+01	
2.74000000E+02	-3.10022226E+01	
2.75000000E+02	-3.09996466E+01	
2.76000000E+02	-3.09945665E+01	
2.77000000E+02	-3.09852145E+01	
2.78000000E+02	-3.09692889E+01	
2.79000000E+02	-3.09444919E+01	
2.80000000E+02	-3.09096811E+01	
2.81000000E+02	-3.08665758E+01	
2.82000000E+02	-3.08214929E+01	
2.83000000E+02	-3.07860152E+01	
2.84000000E+02	-3.07751820E+01	
2.85000000E+02	-3.08020025E+01	
2.86000000E+02	-3.08680143E+01	
2.87000000E+02	-3.09520027E+01	
2.88000000E+02	-3.10046174E+01	
2.89000000E+02	-3.09640037E+01	
2.90000000E+02	-3.08007727E+01	
2.91000000E+02	-3.05631015E+01	
2.92000000E+02	-3.03698952E+01	
2.93000000E+02	-3.03478659E+01	
2.94000000E+02	-3.05495406E+01	
2.95000000E+02	-3.08670069E+01	
2.96000000E+02	-3.10012838E+01	
2.97000000E+02	-3.07055690E+01	
2.98000000E+02	-3.01683143E+01	
2.99000000E+02	-2.98567220E+01	
3.00000000E+02	-3.00784396E+01	
3.01000000E+02	-3.07091306E+01	
3.02000000E+02	-3.09868977E+01	
3.03000000E+02	-3.03175194E+01	
3.04000000E+02	-2.94907517E+01	
3.05000000E+02	-2.94637090E+01	
3.06000000E+02	-3.03711825E+01	
3.07000000E+02	-3.09960111E+01	
3.08000000E+02	-2.99620770E+01	
3.09000000E+02	-2.88769311E+01	
3.10000000E+02	-2.92213939E+01	
3.11000000E+02	-3.07100007E+01	
3.12000000E+02	-3.04821114E+01	
3.13000000E+02	-2.86570767E+01	
3.14000000E+02	-2.84050424E+01	
3.15000000E+02	-3.02215006E+01	
3.16000000E+02	-3.05842878E+01	
3.17000000E+02	-2.81890659E+01	
3.18000000E+02	-2.78367351E+01	
3.19000000E+02	-3.02265587E+01	
3.20000000E+02	-3.00466037E+01	
3.21000000E+02	-2.72368488E+01	
3.22000000E+02	-2.76851657E+01	
3.23000000E+02	-3.08834590E+01	
3.24000000E+02	-2.82978872E+01	
3.25000000E+02	-2.62326433E+01	
3.26000000E+02	-2.87509684E+01	
3.27000000E+02	-3.01155534E+01	
3.28000000E+02	-2.58690293E+01	
3.29000000E+02	-2.64785722E+01	
3.30000000E+02	-3.10163190E+01	
3.31000000E+02	-2.61198240E+01	
3.32000000E+02	-2.48641419E+01	
3.33000000E+02	-3.00022706E+01	
3.34000000E+02	-2.65784702E+01	
3.35000000E+02	-2.36519093E+01	
3.36000000E+02	-2.82434623E+01	
3.37000000E+02	-2.69106192E+01	
3.38000000E+02	-2.25518212E+01	
3.39000000E+02	-2.66087661E+01	
3.40000000E+02	-2.68344128E+01	
3.41000000E+02	-2.13564809E+01	
3.42000000E+02	-2.52447101E+01	
3.43000000E+02	-2.60929750E+01	
3.44000000E+02	-1.99315168E+01	
3.45000000E+02	-2.41193972E+01	
3.46000000E+02	-2.44566316E+01	
3.47000000E+02	-1.81840705E+01	
3.48000000E+02	-2.32019367E+01	
3.49000000E+02	-2.18031057E+01	
3.50000000E+02	-1.60041522E+01	
3.51000000E+02	-2.24899778E+01	
3.52000000E+02	-1.81021262E+01	
3.53000000E+02	-1.31396521E+01	
3.54000000E+02	-2.20126091E+01	
3.55000000E+02	-1.30505628E+01	
3.56000000E+02	-8.79818777E+00	
3.57000000E+02	-2.18703120E+01	
3.58000000E+02	-4.64120817E+00	
3.59000000E+02	1.57796077E+00	
3.60000000E+02	3.17067899E+01	
