Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
2.29000000E+02	-2.37804044E+01	
2.30000000E+02	-2.29934381E+01	
2.31000000E+02	-2.46210617E+01	
2.32000000E+02	-2.29001614E+01	
2.33000000E+02	-2.49675032E+01	
2.34000000E+02	-2.32260907E+01	
2.35000000E+02	-2.42864356E+01	
2.36000000E+02	-2.42988890E+01	
2.37000000E+02	-2.34750286E+01	
2.38000000E+02	-2.49560683E+01	
2.39000000E+02	-2.38822028E+01	
2.40000000E+02	-2.40259338E+01	
2.41000000E+02	-2.49612199E+01	
2.42000000E+02	-2.39716232E+01	
2.43000000E+02	-2.42403989E+01	
2.44000000E+02	-2.49824723E+01	
2.45000000E+02	-2.46165510E+01	
2.46000000E+02	-2.40905169E+01	
2.47000000E+02	-2.46556076E+01	
2.48000000E+02	-2.49622174E+01	
2.49000000E+02	-2.44752377E+01	
2.50000000E+02	-2.43957921E+01	
2.51000000E+02	-2.48174251E+01	
2.52000000E+02	-2.49511642E+01	
2.53000000E+02	-2.46823779E+01	
2.54000000E+02	-2.45714010E+01	
2.55000000E+02	-2.47763847E+01	
2.56000000E+02	-2.48154733E+01	
2.57000000E+02	-2.49717186E+01	
2.58000000E+02	-2.49220463E+01	
2.59000000E+02	-2.48029740E+01	
2.60000000E+02	-2.48418303E+01	
2.61000000E+02	-2.48359918E+01	
2.62000000E+02	-2.48324443E+01	
2.63000000E+02	-2.49305189E+01	
2.64000000E+02	-2.49451225E+01	
2.65000000E+02	-2.49732772E+01	
2.66000000E+02	-2.49561009E+01	
2.67000000E+02	-2.49680901E+01	
2.68000000E+02	-2.49715687E+01	
2.69000000E+02	-2.49723097E+01	
2.70000000E+02	-2.49758417E+01	
2.71000000E+02	-2.49723097E+01	
2.72000000E+02	-2.49715687E+01	
2.73000000E+02	-2.49741734E+01	
2.74000000E+02	-2.49561009E+01	
2.75000000E+02	-2.49732772E+01	
2.76000000E+02	-2.49451225E+01	
2.77000000E+02	-2.49305189E+01	
2.78000000E+02	-2.48324443E+01	
2.79000000E+02	-2.48359918E+01	
2.80000000E+02	-2.48418303E+01	
2.81000000E+02	-2.48029740E+01	
2.82000000E+02	-2.49220463E+01	
2.83000000E+02	-2.49717186E+01	
2.84000000E+02	-2.48154733E+01	
2.85000000E+02	-2.47763847E+01	
2.86000000E+02	-2.45714010E+01	
2.87000000E+02	-2.46823779E+01	
2.88000000E+02	-2.49511642E+01	
2.89000000E+02	-2.48174251E+01	
2.90000000E+02	-2.43957921E+01	
2.91000000E+02	-2.44752377E+01	
2.92000000E+02	-2.49622174E+01	
2.93000000E+02	-2.46556076E+01	
2.94000000E+02	-2.40905169E+01	
2.95000000E+02	-2.46165510E+01	
2.96000000E+02	-2.49824723E+01	
2.97000000E+02	-2.42403989E+01	
2.98000000E+02	-2.39716232E+01	
2.99000000E+02	-2.49612199E+01	
3.00000000E+02	-2.40259338E+01	
3.01000000E+02	-2.38822028E+01	
3.02000000E+02	-2.49560683E+01	
3.03000000E+02	-2.34750286E+01	
3.04000000E+02	-2.42988890E+01	
3.05000000E+02	-2.42864356E+01	
3.06000000E+02	-2.32260907E+01	
3.07000000E+02	-2.49675032E+01	
3.08000000E+02	-2.29001614E+01	
3.09000000E+02	-2.46210617E+01	
3.10000000E+02	-2.29934381E+01	
3.11000000E+02	-2.37804044E+01	
3.12000000E+02	-2.33951490E+01	
3.13000000E+02	-2.30705258E+01	
3.14000000E+02	-2.36617200E+01	
3.15000000E+02	-2.26143016E+01	
3.16000000E+02	-2.36372187E+01	
3.17000000E+02	-2.24071657E+01	
3.18000000E+02	-2.32275133E+01	
3.19000000E+02	-2.25211921E+01	
3.20000000E+02	-2.23807394E+01	
3.21000000E+02	-2.31409017E+01	
3.22000000E+02	-2.12498096E+01	
3.23000000E+02	-2.43469538E+01	
3.24000000E+02	-2.02999644E+01	
3.25000000E+02	-2.48490814E+01	
3.26000000E+02	-2.02229750E+01	
3.27000000E+02	-2.24040345E+01	
3.28000000E+02	-2.19100675E+01	
3.29000000E+02	-1.95998497E+01	
3.30000000E+02	-2.49313732E+01	
3.31000000E+02	-1.88974466E+01	
3.32000000E+02	-2.13700536E+01	
3.33000000E+02	-2.18095749E+01	
3.34000000E+02	-1.78515480E+01	
3.35000000E+02	-2.38612837E+01	
3.36000000E+02	-1.88601546E+01	
3.37000000E+02	-1.75256528E+01	
3.38000000E+02	-2.49684626E+01	
3.39000000E+02	-1.69214534E+01	
3.40000000E+02	-1.70869179E+01	
3.41000000E+02	-2.45727408E+01	
3.42000000E+02	-1.54015359E+01	
3.43000000E+02	-1.60078494E+01	
3.44000000E+02	-2.43736438E+01	
3.45000000E+02	-1.39999074E+01	
3.46000000E+02	-1.40819002E+01	
3.47000000E+02	-2.49420967E+01	
3.48000000E+02	-1.26532931E+01	
3.49000000E+02	-1.13944290E+01	
3.50000000E+02	-2.25896049E+01	
3.51000000E+02	-1.14370748E+01	
3.52000000E+02	-8.05382396E+00	
3.53000000E+02	-1.49052679E+01	
3.54000000E+02	-1.04632233E+01	
3.55000000E+02	-3.77839757E+00	
3.56000000E+02	-6.14893281E+00	
3.57000000E+02	-9.83087675E+00	
3.58000000E+02	3.71412006E+00	
3.59000000E+02	8.37927612E+00	
3.60000000E+02	1.70228149E+01	
