Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
3.24000000E+02	-2.80446907E+01	
3.25000000E+02	-2.61336920E+01	
3.26000000E+02	-2.88770570E+01	
3.27000000E+02	-2.98790251E+01	
3.28000000E+02	-2.56818124E+01	
3.29000000E+02	-2.62903497E+01	
3.30000000E+02	-3.09709311E+01	
3.31000000E+02	-2.60959409E+01	
3.32000000E+02	-2.47151939E+01	
3.33000000E+02	-2.98409351E+01	
3.34000000E+02	-2.65696236E+01	
3.35000000E+02	-2.35244938E+01	
3.36000000E+02	-2.80578006E+01	
3.37000000E+02	-2.68989669E+01	
3.38000000E+02	-2.24307942E+01	
3.39000000E+02	-2.64288952E+01	
3.40000000E+02	-2.68039387E+01	
3.41000000E+02	-2.12302763E+01	
3.42000000E+02	-2.50708404E+01	
3.43000000E+02	-2.60276364E+01	
3.44000000E+02	-1.97905694E+01	
3.45000000E+02	-2.39445163E+01	
3.46000000E+02	-2.43402931E+01	
3.47000000E+02	-1.80181953E+01	
3.48000000E+02	-2.30158758E+01	
3.49000000E+02	-2.16214710E+01	
3.50000000E+02	-1.57974019E+01	
3.51000000E+02	-2.22760247E+01	
3.52000000E+02	-1.78341605E+01	
3.53000000E+02	-1.28565274E+01	
3.54000000E+02	-2.17326875E+01	
3.55000000E+02	-1.26268404E+01	
3.56000000E+02	-8.32281641E+00	
3.57000000E+02	-2.13866260E+01	
3.58000000E+02	-3.65423769E+00	
3.59000000E+02	3.16566643E+00	
3.60000000E+02	4.98632452E+00	
