Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
2.15000000E+02	-4.46667921E+01	
2.16000000E+02	-4.16563826E+01	
2.17000000E+02	-4.07498894E+01	
2.18000000E+02	-4.17798583E+01	
2.19000000E+02	-4.51144861E+01	
2.20000000E+02	-5.23327512E+01	
2.21000000E+02	-7.32654061E+01	
2.22000000E+02	-5.67171111E+01	
2.23000000E+02	-5.60092953E+01	
2.24000000E+02	-5.88502563E+01	
2.25000000E+02	-5.89752216E+01	
2.26000000E+02	-5.46915567E+01	
2.27000000E+02	-5.07294954E+01	
2.28000000E+02	-4.83069507E+01	
2.29000000E+02	-4.78913082E+01	
2.30000000E+02	-5.01792143E+01	
2.31000000E+02	-5.91347169E+01	
2.32000000E+02	-5.65921104E+01	
2.33000000E+02	-4.81776970E+01	
2.34000000E+02	-4.51409158E+01	
2.35000000E+02	-4.42498022E+01	
2.36000000E+02	-4.50176648E+01	
2.37000000E+02	-4.71816168E+01	
2.38000000E+02	-5.08920630E+01	
2.39000000E+02	-5.67330320E+01	
2.40000000E+02	-6.99917175E+01	
2.41000000E+02	-6.23218171E+01	
2.42000000E+02	-5.58143270E+01	
2.43000000E+02	-5.23086114E+01	
2.44000000E+02	-5.01412323E+01	
2.45000000E+02	-4.93497827E+01	
2.46000000E+02	-5.03995384E+01	
2.47000000E+02	-5.45753543E+01	
2.48000000E+02	-6.36402773E+01	
2.49000000E+02	-5.10471710E+01	
2.50000000E+02	-4.54175634E+01	
2.51000000E+02	-4.29086123E+01	
2.52000000E+02	-4.17474887E+01	
2.53000000E+02	-4.23390839E+01	
2.54000000E+02	-4.50556902E+01	
2.55000000E+02	-5.26330305E+01	
2.56000000E+02	-5.28804833E+01	
2.57000000E+02	-4.37674038E+01	
2.58000000E+02	-3.98731331E+01	
2.59000000E+02	-3.81164073E+01	
2.60000000E+02	-3.79415924E+01	
2.61000000E+02	-3.95672488E+01	
2.62000000E+02	-4.46310244E+01	
2.63000000E+02	-5.65178330E+01	
2.64000000E+02	-4.00364902E+01	
2.65000000E+02	-3.41431025E+01	
2.66000000E+02	-3.06418680E+01	
2.67000000E+02	-2.83652833E+01	
2.68000000E+02	-2.69108077E+01	
2.69000000E+02	-2.60886800E+01	
2.70000000E+02	-2.58562263E+01	
2.71000000E+02	-2.61466779E+01	
2.72000000E+02	-2.70126769E+01	
2.73000000E+02	-2.85286417E+01	
2.74000000E+02	-3.08669099E+01	
2.75000000E+02	-3.44196534E+01	
2.76000000E+02	-4.03788290E+01	
2.77000000E+02	-5.68798802E+01	
2.78000000E+02	-4.51301631E+01	
2.79000000E+02	-4.00699235E+01	
2.80000000E+02	-3.85329119E+01	
2.81000000E+02	-3.87559286E+01	
2.82000000E+02	-4.05784523E+01	
2.83000000E+02	-4.45216464E+01	
2.84000000E+02	-5.35010992E+01	
2.85000000E+02	-5.36080286E+01	
2.86000000E+02	-4.60900992E+01	
2.87000000E+02	-4.33658116E+01	
2.88000000E+02	-4.27819173E+01	
2.89000000E+02	-4.37482885E+01	
2.90000000E+02	-4.64034959E+01	
2.91000000E+02	-5.17303126E+01	
2.92000000E+02	-6.44353126E+01	
2.93000000E+02	-5.59873977E+01	
2.94000000E+02	-5.12477092E+01	
2.95000000E+02	-5.00032543E+01	
2.96000000E+02	-5.05594227E+01	
2.97000000E+02	-5.24624165E+01	
2.98000000E+02	-5.58699186E+01	
2.99000000E+02	-6.22446821E+01	
3.00000000E+02	-7.20793136E+01	
3.01000000E+02	-5.74393144E+01	
3.02000000E+02	-5.16271375E+01	
3.03000000E+02	-4.84135695E+01	
3.04000000E+02	-4.67829530E+01	
3.05000000E+02	-4.65696712E+01	
3.06000000E+02	-4.75029120E+01	
3.07000000E+02	-4.82566165E+01	
3.08000000E+02	-5.65786372E+01	
3.09000000E+02	-5.32032283E+01	
3.10000000E+02	-5.01274842E+01	
3.11000000E+02	-5.23431283E+01	
3.12000000E+02	-5.12817470E+01	
3.13000000E+02	-5.19420902E+01	
3.14000000E+02	-5.55237237E+01	
3.15000000E+02	-5.44458511E+01	
3.16000000E+02	-5.78309909E+01	
3.17000000E+02	-6.02956184E+01	
3.18000000E+02	-5.12954427E+01	
3.19000000E+02	-4.90549221E+01	
3.20000000E+02	-5.37996548E+01	
3.21000000E+02	-6.01290326E+01	
3.22000000E+02	-4.69996822E+01	
3.23000000E+02	-4.26048679E+01	
3.24000000E+02	-4.16180947E+01	
3.25000000E+02	-4.27524838E+01	
3.26000000E+02	-4.44867495E+01	
3.27000000E+02	-4.76307417E+01	
3.28000000E+02	-5.04165118E+01	
3.29000000E+02	-4.65383762E+01	
3.30000000E+02	-4.45008691E+01	
3.31000000E+02	-4.59748803E+01	
3.32000000E+02	-4.61052872E+01	
3.33000000E+02	-4.30766014E+01	
3.34000000E+02	-3.99176682E+01	
3.35000000E+02	-3.72935594E+01	
3.36000000E+02	-3.58175956E+01	
3.37000000E+02	-3.53405092E+01	
3.38000000E+02	-3.59726504E+01	
3.39000000E+02	-3.64293225E+01	
3.40000000E+02	-3.56574364E+01	
3.41000000E+02	-3.41690467E+01	
3.42000000E+02	-3.26917431E+01	
3.43000000E+02	-3.22756564E+01	
3.44000000E+02	-3.29938847E+01	
3.45000000E+02	-3.51382456E+01	
3.46000000E+02	-3.88598628E+01	
3.47000000E+02	-4.37103972E+01	
3.48000000E+02	-4.72700123E+01	
3.49000000E+02	-5.66785679E+01	
3.50000000E+02	-3.74316067E+01	
3.51000000E+02	-2.86234285E+01	
3.52000000E+02	-2.25249173E+01	
3.53000000E+02	-1.77800639E+01	
3.54000000E+02	-1.39083577E+01	
3.55000000E+02	-1.07154096E+01	
3.56000000E+02	-8.10484157E+00	
3.57000000E+02	-6.02868822E+00	
3.58000000E+02	-4.47657995E+00	
3.59000000E+02	-3.44914834E+00	
3.60000000E+02	-2.98471375E+00	
